Server_ID,Hostname,IP_Address,OS_Type,Server_Location,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Admin_Name,Admin_Email,Admin_Phone,Log_Timestamp,CPU_Health,Memory_Health,Disk_Health,Availability_Pct,Total_Network_MBs,Load_Score,Date,Hour,Server_Role,Instance_Size,Region_Group
28fe2731-7083-4dd0-97aa-e535ecd8842f,gAAAAABptp5OQB3aRiPqWFmddph_g_-EEEg2rKy93RUrhmk35353qoSIL3Qw3zcgTSimcVtOXbM7RC4hoWZoxobhW8bYnuIeyQ==,gAAAAABptp5OzDF-ufY12Uja472NSh-cqGLsY_cBkMDjIQOCdMUfm2QhT_gKO8YoNvmrqYeU2Z2dgRhu3xga-d7tM2xaKHB1sQ==,CentOS 8,"Berlin, Germany",12.99,58.45,27.97,72.81,122.67,19.96,4.04,gAAAAABptp5O29PTnnJH6BaEwbDAh-aKYakxG0tt0RPyi0DCAkgaD5anIs82UyxGXqA0SJ24tEUkqSmfDpmixrFVyzISJZZAeQ==,gAAAAABptp5OBfDg7_A9KE0psnKx97zP-rYQh4-VnOcZS8BvK2I5tKThWXBlQHwDpj7XnHaWWYzkUstTBzfcYPV5V-Dgur9JwgBVax3JNzXUAAk_bQnwMGs=,gAAAAABptp5OA2oZR1PGX3Z2D8_KJkQVL2b4BiFNiEoBwz2FznON70p1q--6oNap9H25jZSuA6vKWqUsGU2q3SyXt1pnUDjdrA==,2025-02-18 03:53:00,GOOD,GOOD,GOOD,83.17,195.48000000000002,33.14,2025-02-18,3,API,Medium,Europe
c2596d33-afee-434c-ac03-a277135eabdd,gAAAAABptp5O5PCcouDRr_5fa3rXMwVknWg93ynCiY6pM3LNgSja8CXmDPoET9mmNweqNum8vVsFRyTLez45mXsswgkftADBvg==,gAAAAABptp5OWCtATrMe4P2QziHHlnpDAQN5TLMZywx-4RTAWcGYfkcN1QKv4pIYboRVPAC7w6Mr_4koelW57LEJwn0Nv2TH3w==,Windows Server 2019,"London, UK",41.71,59.25,36.54,22.89,86.55,22.89,1.11,gAAAAABptp5O77MsrURY6oMXPXNj551VGPSsuiwNAnKGBrLx10lt3aI6kD5GLy_GhRmoNPMNHMJlBvr2zI4jerrhTbfuyUt9mA==,gAAAAABptp5O019FV3FnF_MhDpo9SiPEdLiil7NCz9d7HnT2HZxZw62PFCdEpLBDNc7HrcGYjQd-wACmlwoBBgxa8x9TA2r70KCSgeYglVUpHp3iMTHIV9g=,gAAAAABptp5OdVsjXPp9Cfe9M5jzgNZHur8aIkz5PX-olsqyz_T1aeG5oW4Izl6EmxQ38I12lNEDGR9yQMP-PtBpWoya8oYukQ==,2025-02-14 14:24:00,GOOD,GOOD,GOOD,95.38,109.44,45.83,2025-02-14,14,API,Medium,Europe
c137b910-3675-4dbd-9353-3ba607e98cb0,gAAAAABptp5O6MNvRYGFQGi4_X2u1KnO3L_GZ_ZgcZIDFFWIrKrE3HQn9dZOr3FxeMfaqzJrVJsFRiHJNx5vBYzMQTgw2unYfQ==,gAAAAABptp5O4Umq5w2aDFWtBKEZDasNDZ6VztMwBsP_10bSzW98C0AklMZeI1ij3xbKQwtJ53w-5aOcXHmEXPCC_rlunhza0Q==,Windows Server 2019,"Sydney, Australia",55.22,68.63,10.85,28.02,11.73,20.64,3.36,gAAAAABptp5OmAggYeWodzqJOqIdMhbnOhYhGgYYjEaOoNsxlzgr5DFYpbjMBPJVEpDa1IWz0yFAQRFpBGlo04O5JNWYwxgBmQ==,gAAAAABptp5OOREUW3rCFKiSAnN0dBaDQDLnLPG9raAmIGExogxyd1m-T8HCQhJWGe7UJxaZuGXBkxirUj3S7-wtkD_WEUrZiei5GIIRbi4TFvgVab9ceAU=,gAAAAABptp5O9agmnQaHytUZPSA_6BoU2dQ06vFV5-a6xlj_y4UyDWppvCMKiqvCJaj2CeLGeH60WO2d0gETmvg23yTb9oBw0w==,2025-01-15 21:24:00,MODERATE,MODERATE,GOOD,86.0,39.75,44.9,2025-01-15,21,Backup,Small,Asia Pacific
b2607e67-2bd4-4a90-a786-212775f24f61,gAAAAABptp5OmX8PECkOfhG5Rq4AH3jrODd2jZ5xqrEjP7Q8KbPH8q49burMYA2FSmEGW_gB5rQ8toX7qQw9RB_oICKGfdLO8Q==,gAAAAABptp5OGV6czOmaCUvSM_gYNYlIgd4nkUWF3kb2_yUTWb7Zu_cJC_USgNw6mKq_Q2bMGJjOiyv3brzQ2bTnsvhfhoyGRA==,Ubuntu 20.04,"New York, USA",86.03,27.24,90.44,112.72,90.19,21.86,2.14,gAAAAABptp5O1EWNSDIkiEb-LTE3iOYAXh-qK0qVryYChAbCBXs4lftKHnnIeduTrr9XLkCVNNNJLNkLwBmMnuZY7JzkVPgfCw==,gAAAAABptp5OzPNXB9DKnLD5aCnsA9lbDj7DOU9uafwz8dIMuU-PrI3-bSU83fgibSxdlonKkv0fKtzexWOYKRthLUAsagbJFkkgbbjD9eDA9xxow-ejmN8=,gAAAAABptp5O_Hhy_F-pw8JFaIN960tGZ1GAREF0AOsNfiPBD4SltMG0J1rQLu1BNxLGwaDr9-1ig-dKzO-Huv29QikW33iwng==,2025-01-25 21:29:00,CRITICAL,GOOD,CRITICAL,91.08,202.91,67.9,2025-01-25,21,Analytics,Large,Americas
08ac5795-9603-4848-9fc0-f20307b026aa,gAAAAABptp5O2BQfuAiUzM7N0uEJqgYmSeTdxEqTigUCB31TSRwKbOQxeDwiGD84imUYjUZqdQlYscxavQjMsutkI3KQ2YE95Q==,gAAAAABptp5O0D6i57o2I1wZWJYu-Z06-UPcBt5DdInmPv5mUb2TZQ0LQwQgKV2hww5Yrv9Xunzv3kHP0PHwDc-TXZuXrRtOrQ==,Ubuntu 20.04,"London, UK",17.66,79.55,13.41,67.99,71.75,18.49,5.51,gAAAAABptp5Ocx_2KmmWWQ1UtXnXvCZSTeZJsyz3t7OymL7bShWhoT4i8x4I6uPCDv-TiLTxeinbWY9OE_VooA3xDDFX0NcHHQ==,gAAAAABptp5OMmXhF-YSfqjuT7MD9e0We8dXbuLLHSG1s7mTNlSi1vZocEc7KnjlbFOcIEIoiDjZg4xdgWEhYtPHpq5zx5P3BbSpGE4DcLessofllp5CMUY=,gAAAAABptp5OL_cd3SL3cwPOtnTT0nxCHPfckmIeJOTurw_9d9C-D6wMZF3xKtlBdCYSLWKikYm-kaRBVPHSKSS4uY4iXhoGmw==,2025-02-07 18:43:00,GOOD,MODERATE,GOOD,77.04,139.74,36.87,2025-02-07,18,Cache,Small,Europe
352c6356-d76e-47d3-bb86-ed94aa70f82f,gAAAAABptp5OHKmX04KP72-SbXLoYXipXNPWS7Vvm-DUMA9T7b1--hbI6NjlWWggxN-frJmjBnjnnKBY_741AE-17EJ4_3cr4w==,gAAAAABptp5OFfzlQ7Cpm-Hc4M590ovPAjGs5QEx-TgpyatEevmSdNp2_lHkwx6ijntzh-jw1v_DZ7ym5r9i4tPZFcJqMSTRbA==,Windows Server 2019,"Sydney, Australia",29.51,76.82,30.39,83.17,21.74,21.79,2.21,gAAAAABptp5OZYfSWLel1_ulNu3ealyGXCOzfl_I7hyf2XOxERf1jb5EiIo8HbJ4JvfIN7DiMtY8EDzpSIRlImXBy6oARwxOcw==,gAAAAABptp5Obz_ub9c50j7PJ6aUxTcJRXyz6hYL8wM7CuXjv8-C4TGhUMn41ZtjbKmy9ZVXm5dMmZOumLje-jlEdt2T7XYAB07nfd1e4OHO4g-koEBBpYc=,gAAAAABptp5OAkNWhuYN9jwvGKkOEmaSCYCk0OK4DHfGtrvmPipfyxKJYho41w2FRDZ7BzOcN_L-fQ5y8Brz22Kx11etUFMC3Q==,2025-02-10 15:01:00,GOOD,MODERATE,GOOD,90.79,104.91,45.57,2025-02-10,15,Web Server,Small,Asia Pacific
9013d12f-a90e-492c-87c5-5a5811887394,gAAAAABptp5ObE4VI_geA9qK9sb5wcbBjNwGX0yUXTbgPf_IgAEEVszTDv5gfhrb4Iim2TY1AwS5ymcjIwmASpMLAkorHk9ECg==,gAAAAABptp5ObcxQ69k4lgbM_ZXnn6dbqkI4aK0eT3mqkaJXBORanW5CP30g6s3By3ZSw0PgggwubUTyL-WjMWJLpHW7fbN49g==,CentOS 8,"London, UK",43.74,73.84,20.42,25.4,15.76,19.42,4.58,gAAAAABptp5OiOjmrInpeK_g7wk1layFa-8rL85LFPsNojB3-i2QdGDa8fCE2Yadv8pODhSz2VKxDsqLOoKR8-t2iFz9muKhow==,gAAAAABptp5OBdRKpG3-0CtXB9L_IFjObVJDACavOVL9i0iHs5tobm3H3mLN9Xi5yH92MqKUXH2nzY0-fcXrnPKZfdHzy5VQYvH1ROnjEeTQIhA7qsxhdxk=,gAAAAABptp5Ooyrwz0cp5AOCjItuxbUtNJ5NhZhGJO9z_2trgYQ1c323qra07DHTlpEQ1HdN859GDC-nL_eLKEpbn1RFOODjaA==,2025-01-24 06:22:00,GOOD,MODERATE,GOOD,80.92,41.16,46.0,2025-01-24,6,Analytics,Large,Europe
513d5310-3933-456b-a835-221f2df6c1fe,gAAAAABptp5O-yKl3oLxH2TuqNNQ5zG0k_WaTYagf747K3uOJostTuU8DozEP4QLvnmKpHeT_XlD6xJJHcRwZYoZOzeZgXYN7Q==,gAAAAABptp5OfhlYRlh7xbfdp4UsWEyEd_uteFSe3JZvxl70wsB7mwToEJfEoZJGiF2IYWXqZvNMNOwqq7pmsNegMCLZkoowtA==,CentOS 8,"Sydney, Australia",51.65,30.42,16.69,68.42,23.09,18.21,5.79,gAAAAABptp5OWPz5JSMCc8JqAMMzTG4YG0IuhkSfkVU8lmNipADp9-da9858s4Ki27B7DiVII7kRT5qpKcGJBbBZla5w-gyQ3rcrimRcOaVBJO3FPXUoJQ0=,gAAAAABptp5O1n3qeiH_kIkhiGt6NCAHyHnGNuFYNregcIHn3tw5niM2pNOHjs1ggvXctPnmo_SCQZMP7038x4stDIZUtFYwZ9QCzQ_zJJXZ7ZS2G6lYOU0=,gAAAAABptp5Og9ld84TwevhuJimL1rrXSi0ULEuuinU6_ldp7hSU2NTrvBH-bYaoGGPz0ZFSdl4nb5vOnq6S43beQsPfaBmLgw==,2025-01-17 22:38:00,MODERATE,GOOD,GOOD,75.88,91.51,32.92,2025-01-17,22,Analytics,Large,Asia Pacific
e9ad7958-83df-47d8-b536-94bf53df2d92,gAAAAABptp5OrtaG7fvcplOgACIGmX2xi2zUHhLarmS2XmH6wRI2TbzuO32O_7tF7jt-e8cGTHCzzARjlpe9L7His-r1AtJ1Mg==,gAAAAABptp5OwBxvaNwDGIZETfAPjuYgq_arA8RVzyjYGZLMnGLqEzt7BWc48I53sp04HK223JfVI9JjdY4w0ObU6-1E6ifUog==,CentOS 8,"New York, USA",23.91,91.49,31.45,121.68,84.93,19.66,4.34,gAAAAABptp5O4X1hfLXwBZKvQGICZxPHgZj0wxb0oNRay_QDv1mZzYhbMcXjHOXVpfbUTrNp0OyAk-FrTL32w3_zabDIXxIjf5gyUAEg2JQOYKyYuNfQOxw=,gAAAAABptp5OQX4DbR92zTkI6EyH_yeAWzDC5pLvpkfhHxLWrPgJJKLvWqrG8pG1pynk0Sbde8jjpCr1MmhTo_A0YOeeYEazomFM4cnQ1f-bvZjt1M1lIBk=,gAAAAABptp5ODr1Oe1oM47DFNTlRaKKPIBrqW2ZZ3pbW6ZX2PDAtnGnlo4DEmdsEUDIuWJTOAYmlllyYvqt2qSIr74dSJjZONQ==,2025-02-06 00:58:00,GOOD,CRITICAL,GOOD,81.92,206.61,48.95,2025-02-06,0,Cache,Small,Americas
3145367a-2b21-41fc-8eef-1d92088de8a4,gAAAAABptp5OwGjzym5lm-mdM98HrLUp1T8Wf1109xIi8CFenuGaHfUJCXpHIfcRKjFZS9MO6Vh-BsMe1VScZgyrRD84DlDylg==,gAAAAABptp5O2lrVJF69SdBHybcDjr-DvZcMBNneqF2aX55E3_BOVP0O3dNE7LsMWvs8iIWKWd7J2cDKc3A4pVXXlcT9jG5F4w==,Windows Server 2019,"London, UK",88.99,42.49,91.11,132.52,35.24,20.57,3.43,gAAAAABptp5OK-IXBPgeWM0LFalOoMCnW9mSepQ423BF2s3XMhdu22_7QpjbVVowJ0qy4lnvzbjnWuu-vHIVFhKIJ8J20NoWAA==,gAAAAABptp5OacA9DVRG1A0UNTL0BbeoGxLjOYLBSWXsihkNqNdUxAalUKmpowrcbzx-BjhOmkvCua9o498MQXMnTZfmLAgY3qWjRlSpe9nm3G5gqEQIVWk=,gAAAAABptp5OL5rekQ_QfQp7VvofwAKCESnreUAprazg66qw34OvQOut_OgF7_qKBXCsmjWag1VRa4q6MAL0rUsjyph6BHk_ng==,2025-02-07 05:21:00,CRITICAL,GOOD,CRITICAL,85.71,167.76000000000002,74.2,2025-02-07,5,API,Medium,Europe
4d55bfc7-c27e-42d9-b271-c49770de3164,gAAAAABptp5OMSsxCF2vZCdzwtHERr9hwAaJKC3mojwfC1PW9MRtGvHLNhrHOXO3F2zuJAbuly3YtfEdzO741oev7SwZxCbvaQ==,gAAAAABptp5OJZYc01rUdFUIS8eTAIM5S9TC3eURtUqjuJMRnAe1rY7zxlvcQ3hvr6tJZMIjpRJyV6yQENoYM_fKUimLoDBXJw==,Windows Server 2022,"New York, USA",38.03,68.66,45.14,31.47,92.3,21.36,2.64,gAAAAABptp5OHrlqIQUcxZn6zqtjeWSQXB3geUJIhNPeChXrLmnAf5uO2SqTTPl_Y6dkyR1UzRCY94Kvdv9TR7PPzYJcmYIAVg==,gAAAAABptp5O15Wrr_YUycYsFdbE3x_gTojj7aX75Bpavd1RdfobbcVUi5Q480BfsSsuB3POjwOO5YkYMhF_7HlLXuZnUd-NYBY-Evt7XZa7nNvb6fRxK_w=,gAAAAABptp5O1Bb5RuATC2ICYrrmEjdw6srsl1eKOAlkW8OrHPFmFLWEG-ctljjLyfushocfBmW3dPI7M-mLdryiA7RWGXqOQw==,2025-03-08 10:54:00,GOOD,MODERATE,GOOD,89.0,123.77,50.61,2025-03-08,10,Cache,Small,Americas
